file	sample	sample_name	condition	replicate
/scratch/lb4489/project/hcc/iprox/L107_P/CNHPP_HCC_LC_profiling_L107_P_F4.mzML	L107_P	L107_P	L107	1
/scratch/lb4489/project/hcc/iprox/L107_T/CNHPP_HCC_LC_profiling_L107_T_F5.mzML	L107_T	L107_T	L107	1
/scratch/lb4489/project/hcc/iprox/L107_T/CNHPP_HCC_LC_profiling_L107_T_F4.mzML	L107_T	L107_T	L107	1
/scratch/lb4489/project/hcc/iprox/L107_T/CNHPP_HCC_LC_profiling_L107_T_F6.mzML	L107_T	L107_T	L107	1
/scratch/lb4489/project/hcc/iprox/L107_T/CNHPP_HCC_LC_profiling_L107_T_F3.mzML	L107_T	L107_T	L107	1
/scratch/lb4489/project/hcc/iprox/L107_T/CNHPP_HCC_LC_profiling_L107_T_F1.mzML	L107_T	L107_T	L107	1
/scratch/lb4489/project/hcc/iprox/L107_T/CNHPP_HCC_LC_profiling_L107_T_F2.mzML	L107_T	L107_T	L107	1
/scratch/lb4489/project/hcc/iprox/L108_P/CNHPP_HCC_LC_profiling_L108_P_F1.mzML	L108_P	L108_P	L108	1
/scratch/lb4489/project/hcc/iprox/L108_P/CNHPP_HCC_LC_profiling_L108_P_F5.mzML	L108_P	L108_P	L108	1
/scratch/lb4489/project/hcc/iprox/L108_P/CNHPP_HCC_LC_profiling_L108_P_F3.mzML	L108_P	L108_P	L108	1
/scratch/lb4489/project/hcc/iprox/L108_P/CNHPP_HCC_LC_profiling_L108_P_F4.mzML	L108_P	L108_P	L108	1
/scratch/lb4489/project/hcc/iprox/L108_P/CNHPP_HCC_LC_profiling_L108_P_F2.mzML	L108_P	L108_P	L108	1
/scratch/lb4489/project/hcc/iprox/L108_P/CNHPP_HCC_LC_profiling_L108_P_F6.mzML	L108_P	L108_P	L108	1
/scratch/lb4489/project/hcc/iprox/L108_T/CNHPP_HCC_LC_profiling_L108_T_F6.mzML	L108_T	L108_T	L108	1
/scratch/lb4489/project/hcc/iprox/L108_T/CNHPP_HCC_LC_profiling_L108_T_F3.mzML	L108_T	L108_T	L108	1
/scratch/lb4489/project/hcc/iprox/L108_T/CNHPP_HCC_LC_profiling_L108_T_F5.mzML	L108_T	L108_T	L108	1
/scratch/lb4489/project/hcc/iprox/L108_T/CNHPP_HCC_LC_profiling_L108_T_F1.mzML	L108_T	L108_T	L108	1
/scratch/lb4489/project/hcc/iprox/L108_T/CNHPP_HCC_LC_profiling_L108_T_F2.mzML	L108_T	L108_T	L108	1
/scratch/lb4489/project/hcc/iprox/L108_T/CNHPP_HCC_LC_profiling_L108_T_F4.mzML	L108_T	L108_T	L108	1
/scratch/lb4489/project/hcc/iprox/L109_P/CNHPP_HCC_LC_profiling_L109_P_F6.mzML	L109_P	L109_P	L109	1
/scratch/lb4489/project/hcc/iprox/L109_P/CNHPP_HCC_LC_profiling_L109_P_F3.mzML	L109_P	L109_P	L109	1
/scratch/lb4489/project/hcc/iprox/L109_P/CNHPP_HCC_LC_profiling_L109_P_F4.mzML	L109_P	L109_P	L109	1
/scratch/lb4489/project/hcc/iprox/L109_P/CNHPP_HCC_LC_profiling_L109_P_F2.mzML	L109_P	L109_P	L109	1
/scratch/lb4489/project/hcc/iprox/L109_P/CNHPP_HCC_LC_profiling_L109_P_F5.mzML	L109_P	L109_P	L109	1
/scratch/lb4489/project/hcc/iprox/L109_P/CNHPP_HCC_LC_profiling_L109_P_F1.mzML	L109_P	L109_P	L109	1
/scratch/lb4489/project/hcc/iprox/L109_T/CNHPP_HCC_LC_profiling_L109_T_F5.mzML	L109_T	L109_T	L109	1
/scratch/lb4489/project/hcc/iprox/L109_T/CNHPP_HCC_LC_profiling_L109_T_F4.mzML	L109_T	L109_T	L109	1
/scratch/lb4489/project/hcc/iprox/L109_T/CNHPP_HCC_LC_profiling_L109_T_F2.mzML	L109_T	L109_T	L109	1
/scratch/lb4489/project/hcc/iprox/L109_T/CNHPP_HCC_LC_profiling_L109_T_F6.mzML	L109_T	L109_T	L109	1
/scratch/lb4489/project/hcc/iprox/L109_T/CNHPP_HCC_LC_profiling_L109_T_F1.mzML	L109_T	L109_T	L109	1
/scratch/lb4489/project/hcc/iprox/L109_T/CNHPP_HCC_LC_profiling_L109_T_F3.mzML	L109_T	L109_T	L109	1
/scratch/lb4489/project/hcc/iprox/L110_P/CNHPP_HCC_LC_profiling_L110_P_F6.mzML	L110_P	L110_P	L110	1
/scratch/lb4489/project/hcc/iprox/L110_P/CNHPP_HCC_LC_profiling_L110_P_F2.mzML	L110_P	L110_P	L110	1
/scratch/lb4489/project/hcc/iprox/L110_P/CNHPP_HCC_LC_profiling_L110_P_F4.mzML	L110_P	L110_P	L110	1
/scratch/lb4489/project/hcc/iprox/L110_P/CNHPP_HCC_LC_profiling_L110_P_F3.mzML	L110_P	L110_P	L110	1
/scratch/lb4489/project/hcc/iprox/L110_P/CNHPP_HCC_LC_profiling_L110_P_F1.mzML	L110_P	L110_P	L110	1
/scratch/lb4489/project/hcc/iprox/L110_P/CNHPP_HCC_LC_profiling_L110_P_F5.mzML	L110_P	L110_P	L110	1
/scratch/lb4489/project/hcc/iprox/L110_T/CNHPP_HCC_LC_profiling_L110_T_F2.mzML	L110_T	L110_T	L110	1
/scratch/lb4489/project/hcc/iprox/L110_T/CNHPP_HCC_LC_profiling_L110_T_F6.mzML	L110_T	L110_T	L110	1
/scratch/lb4489/project/hcc/iprox/L110_T/CNHPP_HCC_LC_profiling_L110_T_F4.mzML	L110_T	L110_T	L110	1
/scratch/lb4489/project/hcc/iprox/L110_T/CNHPP_HCC_LC_profiling_L110_T_F5.mzML	L110_T	L110_T	L110	1
/scratch/lb4489/project/hcc/iprox/L110_T/CNHPP_HCC_LC_profiling_L110_T_F3.mzML	L110_T	L110_T	L110	1
/scratch/lb4489/project/hcc/iprox/L110_T/CNHPP_HCC_LC_profiling_L110_T_F1.mzML	L110_T	L110_T	L110	1
/scratch/lb4489/project/hcc/iprox/L111_P/CNHPP_HCC_LC_profiling_L111_P_F6.mzML	L111_P	L111_P	L111	1
/scratch/lb4489/project/hcc/iprox/L111_P/CNHPP_HCC_LC_profiling_L111_P_F2.mzML	L111_P	L111_P	L111	1
/scratch/lb4489/project/hcc/iprox/L111_P/CNHPP_HCC_LC_profiling_L111_P_F3.mzML	L111_P	L111_P	L111	1
/scratch/lb4489/project/hcc/iprox/L111_P/CNHPP_HCC_LC_profiling_L111_P_F5.mzML	L111_P	L111_P	L111	1
/scratch/lb4489/project/hcc/iprox/L111_P/CNHPP_HCC_LC_profiling_L111_P_F1.mzML	L111_P	L111_P	L111	1
/scratch/lb4489/project/hcc/iprox/L111_P/CNHPP_HCC_LC_profiling_L111_P_F4.mzML	L111_P	L111_P	L111	1
